pctf,data,intrare_day,iesire_day,total_day,car_in,car_out,bus_in,bus_out,light_trucks_in,light_trucks_out,trucks_in,trucks_out,zi_sapt,month,is_weekend
BASARABEASCA,2022-12-01,29,43,72,28,35,1,2,0,0,0,6,4,12,0
BASARABEASCA,2022-12-02,35,36,71,33,34,2,1,0,0,0,1,5,12,0
BASARABEASCA,2022-12-03,33,46,79,32,43,1,2,0,0,0,1,6,12,1
BASARABEASCA,2022-12-04,30,33,63,26,20,2,1,0,1,2,11,7,12,1
BASARABEASCA,2022-12-05,27,44,71,26,40,1,2,0,0,0,2,1,12,0
BASARABEASCA,2022-12-06,25,33,58,23,31,2,1,0,0,0,1,2,12,0
BASARABEASCA,2022-12-07,26,36,62,23,29,1,1,2,2,0,4,3,12,0
BASARABEASCA,2022-12-08,23,29,52,22,24,1,2,0,0,0,3,4,12,0
BASARABEASCA,2022-12-09,28,39,67,26,34,2,1,0,0,0,4,5,12,0
BASARABEASCA,2022-12-10,32,43,75,31,36,1,3,0,0,0,4,6,12,1
BASARABEASCA,2022-12-11,32,45,77,28,41,2,1,0,0,2,3,7,12,1
BASARABEASCA,2022-12-12,21,31,52,20,27,1,2,0,0,0,2,1,12,0
BASARABEASCA,2022-12-13,42,49,91,39,44,2,1,0,0,1,4,2,12,0
BASARABEASCA,2022-12-14,40,50,90,39,46,1,1,0,0,0,3,3,12,0
BASARABEASCA,2022-12-15,33,43,76,32,37,1,2,0,0,0,4,4,12,0
BASARABEASCA,2022-12-16,31,39,70,28,31,2,1,0,0,1,7,5,12,0
BASARABEASCA,2022-12-17,44,53,97,42,48,1,2,0,0,1,3,6,12,1
BASARABEASCA,2022-12-18,22,30,52,20,28,2,2,0,0,0,0,7,12,1
BASARABEASCA,2022-12-19,34,45,79,33,41,1,2,0,0,0,2,1,12,0
BASARABEASCA,2022-12-20,31,42,73,28,33,2,2,0,0,1,7,2,12,0
BASARABEASCA,2022-12-21,42,50,92,38,36,2,2,0,0,2,12,3,12,0
BASARABEASCA,2022-12-22,32,42,74,28,33,2,2,0,0,2,7,4,12,0
