pctf,data,intrare_day,iesire_day,total_day,cet_md,cet_ro,cet_ua,cet_ue,cet_other,zi_sapt,month,is_weekend
BASARABEASCA,2022-12-01,224,238,462,102,0,345,0,15,4,12,0
BASARABEASCA,2022-12-02,181,168,349,53,0,280,0,16,5,12,0
BASARABEASCA,2022-12-03,177,196,373,119,6,233,0,15,6,12,1
BASARABEASCA,2022-12-04,194,169,363,78,0,266,4,15,7,12,1
BASARABEASCA,2022-12-05,236,277,513,72,0,428,0,13,1,12,0
BASARABEASCA,2022-12-06,178,194,372,71,2,287,0,12,2,12,0
BASARABEASCA,2022-12-07,179,217,396,105,1,269,4,17,3,12,0
BASARABEASCA,2022-12-08,179,188,367,78,1,275,0,13,4,12,0
BASARABEASCA,2022-12-09,192,164,356,72,3,265,1,15,5,12,0
BASARABEASCA,2022-12-10,192,217,409,161,3,229,2,14,6,12,1
BASARABEASCA,2022-12-11,197,180,377,105,2,255,1,14,7,12,1
BASARABEASCA,2022-12-12,131,185,316,74,2,223,3,14,1,12,0
BASARABEASCA,2022-12-13,228,208,436,100,0,317,3,16,2,12,0
BASARABEASCA,2022-12-14,200,196,396,106,2,269,2,17,3,12,0
BASARABEASCA,2022-12-15,167,180,347,107,0,227,0,13,4,12,0
BASARABEASCA,2022-12-16,225,221,446,120,0,304,0,22,5,12,0
BASARABEASCA,2022-12-17,220,239,459,180,0,262,2,15,6,12,1
BASARABEASCA,2022-12-18,187,186,373,69,6,274,2,22,7,12,1
BASARABEASCA,2022-12-19,192,199,391,92,0,286,1,12,1,12,0
BASARABEASCA,2022-12-20,237,218,455,95,0,346,0,14,2,12,0
BASARABEASCA,2022-12-21,189,182,371,100,4,250,3,14,3,12,0
BASARABEASCA,2022-12-22,191,197,388,80,0,287,1,20,4,12,0
BASARABEASCA,2022-12-23,198,214,412,81,0,319,0,12,5,12,0
BASARABEASCA,2022-12-24,277,270,547,179,4,343,1,20,6,12,1
BASARABEASCA,2022-12-25,237,245,482,109,0,359,0,14,7,12,1
BASARABEASCA,2022-12-26,133,144,277,52,0,211,1,13,1,12,0
BASARABEASCA,2022-12-27,245,237,482,103,0,363,0,16,2,12,0
BASARABEASCA,2022-12-28,254,249,503,101,5,378,2,17,3,12,0
BASARABEASCA,2022-12-29,222,260,482,165,3,296,4,14,4,12,0
BASARABEASCA,2022-12-30,283,291,574,120,2,435,1,16,5,12,0
BASARABEASCA,2022-12-31,183,175,358,92,0,248,2,16,6,12,1
BASARABEASCA,2023-01-01,48,92,140,46,2,80,1,11,7,1,1
BASARABEASCA,2023-01-02,122,194,316,82,3,206,6,19,1,1,0
BASARABEASCA,2023-01-03,245,205,450,95,2,332,6,15,2,1,0
BASARABEASCA,2023-01-04,210,277,487,126,2,331,8,20,3,1,0
BASARABEASCA,2023-01-05,186,219,405,92,2,288,2,21,4,1,0
BASARABEASCA,2023-01-06,182,191,373,94,0,266,0,13,5,1,0
BASARABEASCA,2023-01-07,126,138,264,132,1,118,0,13,6,1,1
BASARABEASCA,2023-01-08,175,130,305,80,2,210,0,13,7,1,1
